"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2022","54.0870","58.7014","61.3552","50.6855","9.24M","-7.85%"
"Jan 26, 2022","58.6966","62.8290","66.2485","57.7954","8.47M","-6.58%"
"Jan 25, 2022","62.8319","66.0626","67.1443","61.7020","6.67M","-4.90%"
"Jan 24, 2022","66.0659","69.6807","69.7800","59.3386","12.64M","-5.19%"
"Jan 23, 2022","69.6807","62.8976","70.2462","62.8976","8.78M","10.78%"
"Jan 22, 2022","62.8976","64.9356","65.8568","53.9832","15.77M","-3.14%"
"Jan 21, 2022","64.9356","77.4844","80.7375","61.8395","12.96M","-16.20%"
"Jan 20, 2022","77.4844","81.1109","84.8684","76.2824","4.49M","-4.48%"
"Jan 19, 2022","81.1191","80.7529","82.0560","75.8104","4.65M","0.45%"
"Jan 18, 2022","80.7529","77.0441","81.3341","74.0011","4.82M","4.81%"
"Jan 17, 2022","77.0441","87.0978","87.1654","75.9729","4.18M","-11.54%"
"Jan 16, 2022","87.0973","87.2702","87.5410","84.5211","2.59M","-0.21%"
"Jan 15, 2022","87.2776","81.4145","87.8593","80.4204","2.84M","7.20%"
"Jan 14, 2022","81.4145","78.2002","82.9770","76.4380","3.51M","4.11%"
"Jan 13, 2022","78.2002","81.8759","83.8318","77.9051","5.31M","-4.59%"
"Jan 12, 2022","81.9608","73.5222","82.9236","72.4949","5.97M","11.48%"
"Jan 11, 2022","73.5222","69.4522","74.9481","68.3657","5.34M","5.85%"
"Jan 10, 2022","69.4597","74.4668","74.6070","65.3097","8.98M","-6.68%"
"Jan 09, 2022","74.4329","66.9095","75.5773","65.8510","6.24M","11.28%"
"Jan 08, 2022","66.8859","68.7148","71.6201","62.5471","6.79M","-2.64%"
"Jan 07, 2022","68.6998","78.4557","78.6321","68.0871","8.63M","-12.43%"
"Jan 06, 2022","78.4557","78.4527","80.2660","74.2213","5.67M","0.05%"
"Jan 05, 2022","78.4186","84.4991","87.3892","73.4431","5.31M","-7.20%"
"Jan 04, 2022","84.4991","88.8577","89.4748","84.3793","3.48M","-4.90%"
"Jan 03, 2022","88.8536","89.4343","93.9498","88.5927","3.62M","-0.65%"
"Jan 02, 2022","89.4343","91.6753","92.5043","87.9432","2.43M","-2.44%"
"Jan 01, 2022","91.6686","85.4962","91.6686","85.4962","2.94M","7.20%"
"Dec 31, 2021","85.5091","84.7482","91.0259","84.1888","4.34M","0.90%"
"Dec 30, 2021","84.7482","84.1458","87.7892","81.1727","4.26M","0.71%"
"Dec 29, 2021","84.1542","85.1019","87.7662","82.5978","5.33M","-1.11%"
"Dec 28, 2021","85.1019","90.9049","93.6528","83.5642","7.71M","-6.38%"
"Dec 27, 2021","90.9049","99.5748","103.4910","89.6564","6.49M","-8.71%"
"Dec 26, 2021","99.5752","98.2924","100.7158","95.9270","4.57M","1.31%"
"Dec 25, 2021","98.2924","95.7417","100.9361","95.3597","6.05M","2.64%"
"Dec 24, 2021","95.7641","94.3167","101.1509","93.8123","8.84M","1.53%"
"Dec 23, 2021","94.3167","85.3589","95.0206","84.4881","10.24M","10.51%"
"Dec 22, 2021","85.3488","87.2888","97.9282","84.4996","13.40M","-2.32%"
"Dec 21, 2021","87.3774","81.8051","88.9496","79.6406","8.27M","6.88%"
"Dec 20, 2021","81.7521","78.1936","82.6003","72.3306","12.87M","4.55%"
"Dec 19, 2021","78.1936","74.1848","78.9146","72.2921","7.00M","5.40%"
"Dec 18, 2021","74.1848","65.6452","74.2090","62.4373","7.19M","12.98%"
"Dec 17, 2021","65.6634","64.2592","68.9866","60.7572","7.16M","2.18%"
"Dec 16, 2021","64.2597","61.6027","68.0423","61.0399","7.20M","4.32%"
"Dec 15, 2021","61.5999","60.1988","63.9503","54.4188","9.06M","2.33%"
"Dec 14, 2021","60.1988","52.9692","60.5734","52.2804","10.73M","13.64%"
"Dec 13, 2021","52.9730","61.9469","62.5020","52.5406","8.47M","-14.49%"
"Dec 12, 2021","61.9469","60.1161","62.5186","57.5288","5.31M","3.40%"
"Dec 11, 2021","59.9099","60.8675","63.7703","57.7602","7.51M","-1.54%"
"Dec 10, 2021","60.8499","66.4833","71.8244","60.5330","10.40M","-8.52%"
"Dec 09, 2021","66.5199","75.1178","76.4787","65.6431","11.16M","-11.45%"
"Dec 08, 2021","75.1213","68.7552","75.8363","65.2984","9.74M","9.30%"
"Dec 07, 2021","68.7264","66.9141","74.4320","65.6320","11.46M","2.21%"
"Dec 06, 2021","67.2375","68.0844","68.2803","59.8856","16.94M","-1.37%"
"Dec 05, 2021","68.1737","75.3356","78.0841","65.7024","17.94M","-9.54%"
"Dec 04, 2021","75.3657","63.5582","78.0658","50.0975","23.84M","18.58%"
"Dec 03, 2021","63.5578","66.3270","70.3552","63.0585","11.91M","-4.18%"
"Dec 02, 2021","66.3270","64.0849","66.3371","61.2698","10.52M","3.50%"
"Dec 01, 2021","64.0849","59.5571","64.7831","55.7551","10.26M","7.61%"
"Nov 30, 2021","59.5545","51.6207","59.9805","50.5192","12.25M","15.37%"
"Nov 29, 2021","51.6207","50.1508","52.8085","47.7044","7.14M","2.95%"
"Nov 28, 2021","50.1405","43.8920","50.1583","42.2989","12.20M","14.17%"
"Nov 27, 2021","43.9193","40.9676","44.3263","40.9162","4.76M","7.36%"
"Nov 26, 2021","40.9066","43.5717","45.1071","37.9425","11.08M","-6.12%"
"Nov 25, 2021","43.5717","38.5832","43.7754","38.4065","4.41M","12.89%"
"Nov 24, 2021","38.5951","42.6987","42.9713","37.8498","5.07M","-9.63%"
"Nov 23, 2021","42.7082","41.0829","43.3891","39.8305","3.59M","3.89%"
"Nov 22, 2021","41.1098","43.5338","43.8441","40.3954","4.60M","-5.76%"
"Nov 21, 2021","43.6211","45.1988","45.3587","42.6138","3.14M","-3.44%"
"Nov 20, 2021","45.1767","42.3794","45.4908","41.4193","3.78M","6.59%"
"Nov 19, 2021","42.3835","40.2606","43.4661","39.6083","5.59M","5.27%"
"Nov 18, 2021","40.2619","43.2168","45.0861","38.8875","8.74M","-6.84%"
"Nov 17, 2021","43.2168","43.2403","43.8555","40.5133","6.91M","-0.03%"
"Nov 16, 2021","43.2300","48.1296","48.1319","41.1335","8.21M","-10.17%"
"Nov 15, 2021","48.1264","51.0676","51.5864","48.0600","2.45M","-5.76%"
"Nov 14, 2021","51.0667","52.0746","52.4656","49.0976","1.91M","-1.93%"
"Nov 13, 2021","52.0699","49.5877","53.3813","48.4785","3.00M","5.01%"
"Nov 12, 2021","49.5877","50.4532","50.6238","47.0283","4.21M","-1.72%"
"Nov 11, 2021","50.4578","48.8218","51.9410","47.4734","4.45M","3.35%"
"Nov 10, 2021","48.8218","50.2276","54.7987","44.5045","7.84M","-2.80%"
"Nov 09, 2021","50.2276","54.1470","54.1699","50.0655","4.20M","-7.20%"
"Nov 08, 2021","54.1246","50.5236","54.7944","49.6921","5.08M","7.13%"
"Nov 07, 2021","50.5236","51.1481","52.6318","50.4383","2.66M","-1.20%"
"Nov 06, 2021","51.1395","49.9082","51.1395","47.4624","3.69M","2.51%"
"Nov 05, 2021","49.8884","51.9266","53.0913","48.8029","4.89M","-3.93%"
"Nov 04, 2021","51.9266","47.9677","52.1396","46.1107","8.07M","8.18%"
"Nov 03, 2021","47.9992","44.7478","49.6879","43.8390","8.57M","7.35%"
"Nov 02, 2021","44.7122","44.0669","45.4698","42.7559","3.33M","1.45%"
"Nov 01, 2021","44.0734","42.8844","44.3157","41.5786","3.43M","2.77%"
"Oct 31, 2021","42.8844","43.2464","43.6272","41.2159","3.36M","-0.84%"
"Oct 30, 2021","43.2464","45.6866","45.7383","42.4291","3.12M","-5.15%"
"Oct 29, 2021","45.5930","42.9545","45.9898","42.2250","4.80M","6.14%"
"Oct 28, 2021","42.9537","39.9036","43.6708","39.6212","6.32M","7.64%"
