"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2020","162.89","168.08","168.21","159.48","349.04K","-3.08%"
"Jan 22, 2020","168.07","169.45","171.31","166.05","268.59K","-0.81%"
"Jan 21, 2020","169.45","166.89","169.99","165.12","258.22K","1.56%"
"Jan 20, 2020","166.85","166.97","169.23","161.43","347.06K","-0.07%"
"Jan 19, 2020","166.97","174.19","177.94","161.79","523.26K","-4.15%"
"Jan 18, 2020","174.19","169.83","179.45","165.23","631.49K","2.51%"
"Jan 17, 2020","169.92","164.15","174.26","162.18","619.19K","3.45%"
"Jan 16, 2020","164.25","166.37","167.37","158.78","622.60K","-1.29%"
"Jan 15, 2020","166.40","165.78","171.73","159.20","794.69K","0.14%"
"Jan 14, 2020","166.16","143.51","170.43","143.51","887.85K","15.79%"
"Jan 13, 2020","143.51","146.46","146.88","142.39","235.34K","-2.01%"
"Jan 12, 2020","146.46","142.47","146.46","141.85","355.79K","2.75%"
"Jan 11, 2020","142.53","144.86","147.92","142.12","401.05K","-1.60%"
"Jan 10, 2020","144.84","137.78","144.93","135.50","389.48K","5.13%"
"Jan 09, 2020","137.78","140.75","141.49","135.57","479.56K","-2.08%"
"Jan 08, 2020","140.70","142.90","147.67","137.20","628.03K","-1.54%"
"Jan 07, 2020","142.90","144.08","145.13","138.90","626.69K","-0.82%"
"Jan 06, 2020","144.08","135.39","144.37","134.87","700.14K","6.39%"
"Jan 05, 2020","135.42","134.19","138.15","134.19","509.94K","0.93%"
"Jan 04, 2020","134.17","134.41","135.76","132.47","368.13K","-0.14%"
"Jan 03, 2020","134.37","127.07","134.95","125.97","672.31K","5.74%"
"Jan 02, 2020","127.07","130.68","130.74","126.58","307.51K","-2.79%"
"Jan 01, 2020","130.71","129.16","132.93","128.74","332.78K","1.20%"
"Dec 31, 2019","129.17","131.60","133.55","128.28","415.51K","-1.85%"
"Dec 30, 2019","131.60","134.31","136.18","130.35","542.08K","-2.03%"
"Dec 29, 2019","134.33","128.06","137.87","127.60","590.03K","4.85%"
"Dec 28, 2019","128.12","126.25","129.64","125.85","350.99K","1.46%"
"Dec 27, 2019","126.28","125.61","126.91","122.80","419.83K","0.52%"
"Dec 26, 2019","125.62","125.13","132.09","124.35","462.74K","0.39%"
"Dec 25, 2019","125.14","127.81","127.81","123.55","412.99K","-2.09%"
"Dec 24, 2019","127.81","127.91","129.55","126.80","348.06K","-0.08%"
"Dec 23, 2019","127.91","132.12","134.83","126.20","583.05K","-3.12%"
"Dec 22, 2019","132.03","127.07","132.96","126.85","368.29K","3.91%"
"Dec 21, 2019","127.07","128.14","128.26","126.55","168.43K","-0.84%"
"Dec 20, 2019","128.15","128.12","129.33","125.98","302.54K","0.04%"
"Dec 19, 2019","128.09","132.83","133.75","125.60","534.00K","-3.46%"
"Dec 18, 2019","132.69","121.93","134.17","116.17","844.26K","8.81%"
"Dec 17, 2019","121.94","132.75","132.97","119.96","694.52K","-8.15%"
"Dec 16, 2019","132.76","142.46","142.66","130.00","519.07K","-6.81%"
"Dec 15, 2019","142.46","141.82","143.90","139.94","375.94K","0.44%"
"Dec 14, 2019","141.84","144.75","145.02","141.22","309.68K","-2.01%"
"Dec 13, 2019","144.75","144.91","145.23","143.10","294.73K","-0.12%"
"Dec 12, 2019","144.91","143.42","145.81","139.54","532.83K","1.04%"
"Dec 11, 2019","143.42","145.57","146.35","142.21","328.80K","-1.47%"
"Dec 10, 2019","145.57","147.42","148.23","144.14","388.14K","-1.26%"
"Dec 09, 2019","147.42","150.40","151.11","146.74","439.49K","-1.99%"
"Dec 08, 2019","150.42","147.14","151.55","146.37","350.31K","2.22%"
"Dec 07, 2019","147.14","148.42","149.30","146.25","312.84K","-0.88%"
"Dec 06, 2019","148.46","148.09","149.11","146.14","351.90K","0.25%"
"Dec 05, 2019","148.09","145.39","150.54","144.01","525.94K","1.88%"
"Dec 04, 2019","145.36","147.16","151.68","143.49","661.72K","-1.22%"
"Dec 03, 2019","147.16","148.64","149.77","146.00","409.80K","-0.99%"
"Dec 02, 2019","148.63","150.77","151.38","146.90","446.33K","-1.43%"
"Dec 01, 2019","150.79","151.35","152.35","146.01","588.80K","-0.48%"
