Date,Price,Open,High,Low,Vol.,Change %
2-Mar-20,0.9995,1.001,1.002,0.999,27.99M,-0.15%
3-Mar-20,1,0.9995,1,0.9985,27.85M,0.05%
4-Mar-20,0.9995,1,1,0.9992,21.52M,-0.05%
5-Mar-20,0.9984,0.9995,0.9996,0.9982,30.89M,-0.11%
6-Mar-20,0.9977,0.9984,0.9993,0.9975,32.31M,-0.07%
7-Mar-20,0.999,0.9977,0.9991,0.9971,24.75M,0.13%
8-Mar-20,1,0.999,1,0.9981,52.08M,0.10%
9-Mar-20,1,1,1.001,0.9985,59.96M,0.00%
10-Mar-20,1,1,1.001,0.9991,38.58M,0.00%
11-Mar-20,0.9989,1,1,0.9988,36.46M,-0.11%
12-Mar-20,0.9993,0.9989,1.1,0.9962,94.32M,0.04%
13-Mar-20,0.9911,0.9993,1.004,0.9864,75.96M,-0.82%
14-Mar-20,1,0.9911,1.002,0.9898,39.32M,0.90%
15-Mar-20,1.002,1,1.002,0.9973,34.60M,0.20%
16-Mar-20,0.9982,1.002,1.004,0.9977,44.83M,-0.38%
17-Mar-20,0.9953,0.9982,0.9987,0.9942,37.06M,-0.29%
18-Mar-20,0.9965,0.9953,0.9985,0.9951,35.69M,0.12%
19-Mar-20,0.9969,0.9965,0.9977,0.9936,46.08M,0.04%
20-Mar-20,0.9998,0.9969,1.001,0.9964,62.49M,0.29%
21-Mar-20,0.9988,0.9998,1,0.9974,37.67M,-0.10%
22-Mar-20,0.9995,0.9988,0.9995,0.9975,37.47M,0.07%
23-Mar-20,0.996,0.9995,0.9995,0.9951,34.51M,-0.35%
24-Mar-20,0.9971,0.996,0.9975,0.9953,28.17M,0.11%
25-Mar-20,0.9979,0.9971,0.9985,0.9961,25.75M,0.08%
26-Mar-20,0.9969,0.9979,0.9986,0.9967,22.28M,-0.10%
27-Mar-20,0.999,0.9969,0.9994,0.9961,26.34M,0.21%
28-Mar-20,0.9979,0.999,0.9996,0.9969,25.33M,-0.11%
29-Mar-20,0.9998,0.9979,0.9998,0.9978,17.49M,0.19%
30-Mar-20,0.9982,0.9998,0.9999,0.997,28.12M,-0.16%
31-Mar-20,0.9975,0.9982,0.9989,0.9974,26.00M,-0.07%
1-Apr-20,0.997,0.9975,0.9988,0.9968,23.24M,-0.05%
2-Apr-20,0.9994,0.997,0.9995,0.9966,33.49M,0.24%
3-Apr-20,0.9989,0.9994,0.9996,0.9981,37.36M,-0.05%
4-Apr-20,0.9982,0.9989,0.9992,0.9978,23.87M,-0.07%
5-Apr-20,0.9985,0.9982,0.9995,0.9981,17.23M,0.03%
6-Apr-20,0.9987,0.9985,0.9989,0.9978,35.93M,0.02%
7-Apr-20,0.9997,0.9987,0.9998,0.998,33.36M,0.10%
8-Apr-20,0.9987,0.9997,0.9998,0.9986,27.85M,-0.10%
9-Apr-20,0.9988,0.9987,0.9994,0.9985,23.73M,0.01%
10-Apr-20,0.9987,0.9988,0.9998,0.9983,37.70M,-0.01%
11-Apr-20,0.9987,0.9987,0.9988,0.9982,18.34M,0.00%
12-Apr-20,0.9988,0.9987,0.9988,0.997,21.32M,0.01%
13-Apr-20,0.9975,0.9988,0.9994,0.9975,30.43M,-0.13%
14-Apr-20,0.999,0.9975,0.999,0.9975,21.87M,0.15%
15-Apr-20,0.9997,0.999,0.9998,0.9984,27.84M,0.07%
16-Apr-20,0.9984,0.9997,0.9999,0.9978,34.79M,-0.13%
17-Apr-20,0.9991,0.9984,0.9992,0.9981,20.83M,0.07%
18-Apr-20,0.9985,0.9991,0.9991,0.9983,18.87M,-0.06%
19-Apr-20,0.9985,0.9985,0.999,0.9983,19.03M,0.00%
20-Apr-20,0.9986,0.9985,0.9994,0.9983,27.41M,0.01%
21-Apr-20,0.9986,0.9986,0.999,0.9982,22.30M,0.00%
22-Apr-20,0.9987,0.9986,0.9989,0.9982,22.97M,0.01%
23-Apr-20,0.9991,0.9987,0.9992,0.9979,42.50M,0.04%
24-Apr-20,0.9992,0.9991,1,0.9985,31.55M,0.01%
25-Apr-20,0.9991,0.9992,0.9997,0.9988,21.33M,-0.01%
26-Apr-20,0.9988,0.9991,0.9995,0.9987,23.28M,-0.03%
27-Apr-20,0.9984,0.9988,0.999,0.9983,26.55M,-0.04%
28-Apr-20,0.9986,0.9984,0.9993,0.9983,24.83M,0.02%
29-Apr-20,0.9992,0.9986,0.9992,0.9977,54.75M,0.06%
30-Apr-20,0.9995,0.9992,1.001,0.9984,60.66M,0.03%
1-May-20,0.9997,0.9995,1,0.9984,41.41M,0.02%
2-May-20,0.9991,0.9997,0.9998,0.9987,23.72M,-0.06%
3-May-20,0.9991,0.9991,1,0.9988,31.74M,0.00%
4-May-20,0.9987,0.9991,0.9996,0.9984,37.87M,-0.04%
5-May-20,0.9995,0.9987,0.9996,0.9986,29.66M,0.08%
6-May-20,0.999,0.9995,0.9996,0.9984,35.14M,-0.05%
