Date,Price,Open,High,Low,Vol.,Change %
21-Jun-18,0.9997,0.9991,0.9999,0.998,606.11K,0.06%
22-Jun-18,1.0005,0.9997,1.001,0.9996,1.48M,0.08%
23-Jun-18,1.001,1.0005,1.003,1,271.54K,0.05%
24-Jun-18,1.001,1.001,1.0041,1.0009,1.73M,0.00%
25-Jun-18,1,1.001,1.0025,0.9997,1.88M,-0.10%
26-Jun-18,0.9996,1,1.0004,0.9991,1.02M,-0.04%
27-Jun-18,1,0.9996,1,0.9991,1.07M,0.04%
28-Jun-18,0.9984,1,1.0003,0.9983,0.66K,-0.16%
29-Jun-18,0.9994,0.9984,1,0.9983,869.28K,0.10%
30-Jun-18,0.9987,0.9994,1.0004,0.998,1.17M,-0.07%
1-Jul-18,0.999,0.9987,0.9999,0.9987,311.45K,0.03%
2-Jul-18,0.999,0.999,0.9999,0.999,907.84K,0.00%
3-Jul-18,0.9989,0.999,1,0.9989,589.02K,-0.01%
4-Jul-18,0.9988,0.9989,1.0002,0.997,785.12K,-0.01%
5-Jul-18,0.9986,0.9988,1.0003,0.998,496.87K,-0.02%
6-Jul-18,0.9984,0.9986,1.002,0.998,732.38K,-0.02%
7-Jul-18,0.9997,0.9984,0.9999,0.998,371.57K,0.13%
8-Jul-18,0.9991,0.9997,0.9999,0.9983,228.36K,-0.06%
9-Jul-18,0.999,0.9991,0.9999,0.999,599.92K,-0.01%
10-Jul-18,0.9996,0.999,1,0.9981,665.23K,0.06%
11-Jul-18,1,0.9996,1.0004,0.9982,522.92K,0.04%
12-Jul-18,0.9989,1,1.0013,0.998,1.08M,-0.11%
13-Jul-18,0.9995,0.9989,1.0004,0.998,686.79K,0.06%
14-Jul-18,0.999,0.9995,1,0.995,1.32M,-0.05%
15-Jul-18,0.999,0.999,1.0005,0.997,1.17M,0.00%
16-Jul-18,0.999,0.999,0.999,0.99,2.98M,0.00%
17-Jul-18,0.9999,0.999,1,0.995,1.46M,0.09%
18-Jul-18,0.9988,0.9999,1.0004,0.9963,3.88M,-0.11%
19-Jul-18,0.9999,0.9988,1.0005,0.997,1.38M,0.11%
20-Jul-18,0.9981,0.9999,0.9999,0.996,1.12M,-0.18%
21-Jul-18,0.9999,0.9981,0.9999,0.9968,274.52K,0.18%
22-Jul-18,0.9988,0.9999,1,0.9951,2.02M,-0.11%
23-Jul-18,0.9976,0.9988,1,0.996,1.69M,-0.12%
24-Jul-18,0.9986,0.9976,1.0004,0.997,1.57M,0.10%
25-Jul-18,0.9985,0.9988,1,0.9975,1.32M,-0.01%
26-Jul-18,0.9986,0.9985,1,0.9978,1.08M,0.01%
27-Jul-18,0.9998,0.9986,0.9999,0.997,1.53M,0.12%
28-Jul-18,0.9987,0.9998,0.9998,0.998,164.12K,-0.11%
